id_unidade;nome_unidade;nome_abreviado_unidade;email_unidade;email_unidade_2;email_unidade_3;telefone_1_unidade;telefone_2_unidade;cie_prodesp_unidade;nome_prodesp_sed;conveniada;nome_unidade_SOMAR;id_unidade_SOMAR;transporte_grupo_atendimento;endereco;endereco_numero;endereco_complemento;endereco_bairro;endereco_cep;regiao_SE_descricao;endereco_google;latitude;longitude;modalidade;Niveis_Integral;Niveis_Parcial;Niveis_Noite;unidades_dif_acesso
11;Ana Maria Poppovic, EMEB;Ana M Poppovic;ana.maria.poppovic@saobernardo.sp.gov.br;;;4109-6498;;87907;ANA MARIA POPPOVIC EMEB;0;Ana Maria Poppovic - EMEB;7;G6;Rua Carlos Wunderlick;100;;Detroit, Jardim [Bairro dos Casa];09840-460;Ipê, Jd. Detroit e Divinéia;-23.73629 -46.57186;-23.73629;-46.57186;I;;Infantil III,Infantil IV,Infantil V;;
12;Andre Ferreira, EMEB Prof.;Andre Ferreira;andre.ferreira@saobernardo.sp.gov.br;;;4127-0232;;278476;ANDRE FERREIRA PROFESSOR EMEB;0;André Ferreira, Professor - EMEB;8;G2;Rua Regente Lima e Silva;301;;Ferrazopolis;09781-130;Ferrazópolis;-23.72871 -46.5380;-23.72871;-46.5380;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
223;Angela Baso Agostin, Associacao Cultural Dom Decio Pereira 1 - Creche (Jd Silvina);Angela Baso CC;crecheangela@institutodomdecio.org.br;;;4338-3737;;452828;ANGELA BASO AGOSTIN CRECHE;1;Creche Parceira ÂNGELA BASO;568;G5;Av. Gen. Barreto de Menezes;366;;Jardim Silvina;09791-150;Jd. Silvina;-23.73601 -46.5357;-23.73601;-46.5357;CC;Infantil II;;;
16;Angelo Ceroni, EMEB Padre;Angelo Ceroni;angelo.ceroni@saobernardo.sp.gov.br;;;4330-8613;;246448;ANGELO CERONI PADRE EMEB;0;Ângelo Ceroni, Padre - EMEB;10;G5;Al. Dom Pedro de Alcantara;805;;Nascimento, Jardim;09771-281;Centro;-23.70679 -46.53559;-23.70679;-46.53559;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
17;Anisio Teixeira, EMEB;Anisio Teixeira;anisio.teixeira@saobernardo.sp.gov.br;;;4178-4838;;82843;ANISIO TEIXEIRA EMEB;0;Anísio Teixeira - EMEB;11;G3;Rua Francisco da Silva Prado;132;;Florida, Vila [Taboao];09661-010;Taboão;-23.66081 -46.59792;-23.66081;-46.59792;I;Infantil III,Infantil IV,Infantil V;;;
18;Annita Magrini Guedes, EMEB Profa.;Annita Magrini;annita.magrini@saobernardo.sp.gov.br;;;4330-5658;;217657;ANNITA MAGRINI GUEDES PROFA EMEB;0;Annita Magrini Guedes, Professora - EMEB;12;G1;Rua  Americana;102;;Baeta neves;09751-110;Baeta Neves;-23.68864 -46.54603;-23.68864;-46.54603;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
19;Antonio de Lima, EMEB;Antonio de Lima;antonio.lima@saobernardo.sp.gov.br;;;4127-4183;;91017;ANTONIO DE LIMA EMEB;0;Antônio de Lima - EMEB;13;G5;Rua Dom Fernando Mascarenhas;100;;Silvina, Jardim [Montanhao];09791-020;Jd. Silvina;-23.7370 -46.53723;-23.7370;-46.53723;I;;Infantil III,Infantil IV,Infantil V;;
20;Antonio dos Santos Farias, EMEB;Antonio S Farias;antonio.farias@saobernardo.sp.gov.br;;;4357-3034;;441703;ANTONIO DOS SANTOS FARIAS EMEB;0;Antônio dos Santos Farias - EMEB;425;G2;Rua Irati;11;;Represa, Jardim [Battistini];09843-370;Jd. Represa, Parque Los Angeles e Parque Imigrantes;-23.77538 -46.59933;-23.77538;-46.59933;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;20 OR 44
21;Antonio Jose Mantuan, EMEB;Antonio Mantoan;antonio.mantuan@saobernardo.sp.gov.br;;;4127-7666;;229970;ANTONIO JOSE MANTUAN EMEB;0;Antônio José Mantuan - EMEB;14;G2;Av. Albert Schweitzer;416;;Jardim Leblon (Ferrazopolis);09790-000;Ferrazópolis;-23.72494 -46.54207;-23.72494;-46.54207;C;Berçário Final,Infantil I,Infantil II;;;
22;Antonio Pereira Coutinho, EMEB;Antonio P Coutinho;antonio.pereira.coutinho@saobernardo.sp.gov.br;;;4358-2046;;95345;ANTONIO PEREIRA COUTINHO EMEB;0;Antônio Pereira Coutinho - EMEB;15;G6;Rua Ademar Saraiva Leao;215;;Alvarenga;09853-120;Alvarenga e Parque Esmeralda;-23.74045 -46.60435;-23.74045;-46.60435;I;;Infantil III,Infantil IV,Infantil V;;
23;Ari Lacerda Rodrigues, EMEB;Ari Lacerda;ari.lacerda@saobernardo.sp.gov.br;;;4342-2444;;281992;ARI LACERDA RODRIGUES EMEB;0;Ari Lacerda Rodrigues - EMEB;16;G6;Rua Primeiro de Maio / Estrada dos Casas;180;;Jardim Ipe;09840-000;Ipê, Jd. Detroit e Divinéia;-23.74031 -46.57651;-23.74031;-46.57651;FE;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
319;Ariano Suassuna, Creche (Farina);Ariano Suassuna;ariano.suassuna@saobernardo.sp.gov.br;;;2630-5286;;4035;ARIANO SUASSUNA EMEB;0;Ariano Suassuna - EMEB;589;G1;Rua dos Vianas;2242;;Baeta Neves;09760-510;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70608 -46.53363;-23.70608;-46.53363;I;Infantil III,Infantil IV,Infantil V;;;
24;Arlindo Ferreira, EMEB;Arlindo Ferreira;arlindo.ferreira@saobernardo.sp.gov.br;;;4173-2377;;430055;ARLINDO FERREIRA EMEB;0;Arlindo Ferreira - EMEB;452;G3;Rua Xavier de Toledo;521;;Vila Pauliceia;09692-030;Paulicéia;-23.67087 -46.58508;-23.67087;-46.58508;C;Berçário Final,Infantil I,Infantil II;;;24 OR 161
25;Arlindo Miguel Teixeira, EMEB;Arlindo Miguel;arlindo.miguel@saobernardo.sp.gov.br;;;4357-4395;;242020;ARLINDO MIGUEL TEIXEIRA EMEB;0;Arlindo Miguel Teixeira - EMEB;17;G6;Estrada dos Alvarengas;7500;;Jardim Laura (Alvarenga);09850-550;Alvarenga e Parque Esmeralda;-23.74423 -46.61172;-23.74423;-46.61172;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;25 OR 59
26;Armando Zoboli, EMEB;Armando Zoboli;armando.zoboli@saobernardo.sp.gov.br;;;4109-5282;;385323;ARMANDO ZOBOLI EMEB;0;Armando Zoboli - EMEB;391;G6;Rua Carlos Wunderlick;110;;Jardim Detroit;09840-460;Ipê, Jd. Detroit e Divinéia;-23.73626 -46.57187;-23.73626;-46.57187;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
186;ASSISBRAC I;Assisbrac 1;assisbrac@assisbrac.org.br;;;4392-7492;;291959;ASSIST SOCIAL BENEF DE RESGATE AO AMPARO A CRIANCA;1;Creche Parceira ASSISBRAC I;269;G3;Rua dos Macucos;14;;Parque dos Passaros;09861-350;Jd. Santo Ignácio;-23.70749 -46.58764;-23.70749;-46.58764;CC;Berçário Inicial,Berçário Final,Infantil I;;;
336;ASSISBRAC II - Pq Selecta;Assisbrac 2;assisbrac@assisbrac.org.br;;;4335-0719;4348-7144;7252;Creche Parceira ASSISBRAC II;1;Creche Parceira ASSISBRAC II;659;G2;Rua dos Macucos;14;;Parque dos Passaros;09861-350;Jd. Santo Ignácio;-23.70749 -46.58764;-23.70749;-46.58764;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
208;ASSISBRAC III (antigo Fraterno 2);Assisbrac 3;crecheassisbrac3@gmail.com;;;4337-9152;;385852;ASSISBRAC III;1;Creche Parceira ASSISBRAC III;450;G3;Estrada dos Alvarengas;1422;;Bairro Campestre;;Jd. Thelma e Jd. Cláudia;-23.73432 -46.57953;-23.73432;-46.57953;CC;Berçário Final,Infantil I,Infantil II;;;
27;Aureo Cruz, EMEB Prof.;Aureo Cruz;aureo.cruz@saobernardo.sp.gov.br;;;4109-8477;;61839;AUREO CRUZ PROFESSOR EMEB;0;Áureo Cruz, Professor - EMEB;18;G3;Rua Lazaro Zamenhoff;110;Entrada pela Oswaldo Fregonezi;Jardim Brasilandia (Assuncao);09861-670;Alves Dias;-23.71651 -46.58198;-23.71651;-46.58198;I;;Infantil III,Infantil IV,Infantil V;;27 OR 160
181;Belenzinho, ABAS - Associacao Belenzinho de Assistencia Social - Creche;Belenzinho ABAS CC;abasbelenzinho@gmail.com;;;4121-5470;;385748;BELENZINHO ASSOCIACAO DE ASSISTENCIA SOCIAL;1;Creche Parceira ABAS - BELENZINHO;273;G1;Av. Luiz Pequini;25;;Pq. Sao Bernardo;09780-250;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70835 -46.52562;-23.70835;-46.52562;CC;Infantil I,Infantil II;;;
28;Belmiro Soares da Cunha, EMEB;Belmiro S Cunha;belmiro.soares@saobernardo.sp.gov.br;;;4356-5732;;82351;BELMIRO SOARES DA CUNHA EMEB;0;Belmiro Soares da Cunha - EMEB;64;G2;Rua Silvio Pasin;150;;Jardim Jerusalem;09811-345;Demarchi;-23.72696 -46.55775;-23.72696;-46.55775;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
29;Benedito Jose de Morais, EMEB;Benedito Jose;benedito.morais@saobernardo.sp.gov.br;;;4338-7722;;82454;BENEDITO JOSE DE MORAIS EMEB;0;Benedito José de Morais - EMEB;19;G5;Rua Part. Flora Bulcao Vertemate;110;;Jardim Silvina;09791-180;Jd. Silvina;-23.73685 -46.53812;-23.73685;-46.53812;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;29 OR 128
30;Bernardo Pedroso, EMEB;Bernardo Pedroso;bernardo.pedroso@saobernardo.sp.gov.br;;;4123-8192;;82855;BERNARDO PEDROSO EMEB;0;Bernardo Pedroso - EMEB;20;G1;Rua Maria de Fatima;372;;Vila Fonte Radioativa (Baeta Neves);09760-480;Baeta Neves;-23.69745 -46.54213;-23.69745;-46.54213;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
185;Betel, ASPAS  Ass Presbiteriana Ass Social  Creche;Betel ASPAS CC;aspas.betel@uol.com.br;;;4335-5791;;292285;ASSOCIACAO PRESBITERIANA DE ASSISTENCIA SOCIAL;1;Creche Parceira BETEL;268;G5;Av. Marques de Barbacena;40;;Jardim Silvina;09791-120;Jd. Silvina;-23.73782 -46.53654;-23.73782;-46.53654;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
31;Bosko Preradovic, EMEB;Bosko Preradovic;bosko.preradovic@saobernardo.sp.gov.br;;;4358-5205;;282005;BOSKO PRERADOVIC EMEB;0;Bosko Preradovic - EMEB;21;G3;Rua Braz Cubas;121;;Alvarenga;09854-030;Jd. Orquídeas;-23.75480 -46.60397;-23.75480;-46.60397;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
32;Bruno Massone, EMEB;Bruno Massone;bruno.massone@saobernardo.sp.gov.br;;;4101-7766;;200189;BRUNO MASSONE EMEB;0;Bruno Massone - EMEB;42;G4;Rua Cintra;20;;Estoril;09831-040;Parque Estoril, Riacho Grande e Finco;-23.77527 -46.52164;-23.77527;-46.52164;IF;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
33;Caetano de Campos, EMEB;Caetano Campos;caetano.campos@saobernardo.sp.gov.br;;;4178-4858;;50842;CAETANO DE CAMPOS EMEB;0;Caetano de Campos - EMEB;22;G3;Rua Miragaia;848;;Vila Pauliceia;09689-100;Paulicéia;-23.67124 -46.59201;-23.67124;-46.59201;I;;Infantil III,Infantil IV,Infantil V;;
34;Candido Portinari, EMEB;Candido Portinari;candido.portinari@saobernardo.sp.gov.br;;;4125-4040;;51100;CANDIDO PORTINARI EMEB;0;Cândido Portinari - EMEB;23;G5;Rua Princesa Maria Amelia;375;;Nova Petropolis;09771-120;Centro;-23.70503 -46.54535;-23.70503;-46.54535;I;Infantil III,Infantil IV,Infantil V;;;
35;Carlos Gomes, EMEB;Carlos Gomes;carlos.gomes@saobernardo.sp.gov.br;;;4109-8376;;50738;CARLOS GOMES EMEB;0;Carlos Gomes - EMEB;24;G6;Estrada dos Casas;2641;;Jardim Ipe (Bairro dos Casas);09840-000;Ipê, Jd. Detroit e Divinéia;-23.74154 -46.57596;-23.74154;-46.57596;I;;Infantil III,Infantil IV,Infantil V;;35 OR 107
36;Carmen Tabet De Oliveira, EMEB Profa.;Carmen Tabet;carmen.tabet@saobernardo.sp.gov.br;;;43540933;4101-9151;246438;CARMEN TABET DE OLIVEIRA MARQUES PROFA EMEB;0;Carmen Tabet de Oliveira Marques, Professora - EMEB;25;G4;R. Quirino Emílio de Jesus;500;;Tatetos;09837-207;Pós Balsa;-23.82917 -46.56604;-23.82917;-46.56604;IFE;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
222;Carolina Maria de Jesus, EMEB (Creche S Bernardo);Carolina M Jesus;carolina.jesus@saobernardo.sp.gov.br;;;2630-5202;26305209;4322;CAROLINA MARIA DE JESUS EMEB;0;Carolina Maria de Jesus - EMEB;587;G1;Alameda Minas Gerais;35;;Jd Nascimento;09765-300;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.71057 -46.52408;-23.71057;-46.52408;CI;Berçário Final,Infantil I,Infantil II,Infantil III,Infantil IV,Infantil V;;;
191;Casa das Criancas Menino Jesus, Congregacao de Sao Joao Batista - Creche;Menino Jesus CC;ccmj@csjbbrasil.org.br;;;4341-6006;;294627;MENINO JESUS CASA DAS CRIANCAS;1;Creche Parceira MENINO JESUS;264;G3;Rua Dr. Jose Oria;444;;Planalto;09890-030;Planalto;-23.6935 -46.57011;-23.6935;-46.57011;CC;Berçário Final,Infantil I,Infantil II;;;
37;Cassiano Faria, EMEB Prof.;Cassiano Faria;cassiano.faria@saobernardo.sp.gov.br;;;4339-2585;;217669;CASSIANO FARIA PROF EMEB;0;Cassiano Faria, Professor - EMEB;26;G5;Rua Leila Goncalves;480;;Vila Goncalves (Centro);09725-051;Centro;-23.71312 -46.55897;-23.71312;-46.55897;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
38;Cassiano Ricardo, EMEB;Cassiano Ricardo;cassiano.ricardo@saobernardo.sp.gov.br;;;4343-5952;;50817;CASSIANO RICARDO EMEB;0;Cassiano Ricardo - EMEB;27;G3;Av. Moinho Fabrini;680;;Jardim Brasilia - Independencia;09862-000;Jd. Santo Ignácio;-23.69876 -46.58108;-23.69876;-46.58108;I;Infantil III,Infantil IV,Infantil V;;;
39;Castro Alves, EMEB;Castro Alves;castro.alves@saobernardo.sp.gov.br;;;4122-5666;;50982;CASTRO ALVES EMEB;0;Castro Alves - EMEB;28;G3;Rua Luiz Ferreira da Silva;372;;Parque Sao Diogo (Anchieta);09732-340; Vila Euclides e Vila Marlene;-23.68112 -46.5580;-23.68112;-46.5580;I;Infantil III,Infantil IV,Infantil V;;;
40;Cecilia Meireles, EMEB;Cecilia Meireles;cecilia.meireles@saobernardo.sp.gov.br;;;4122-4900;;51135;CECILIA MEIRELES EMEB;0;Cecília Meireles - EMEB;29;G1;Rua Campinas;70;;Baeta Neves;09751-420;Baeta Neves;-23.69311 -46.54232;-23.69311;-46.54232;I;;Infantil III,Infantil IV,Infantil V;;
41;Cecilia Oliveira Turbay, EMEB Profa.;Cecilia Turbay;cecilia.turbay@saobernardo.sp.gov.br;;;4354-9127;;229969;CECILIA OLIVEIRA TURBAY PROFA EMEB;0;Cecília Oliveira Turbay, Professora - EMEB;30;G4;Rua Marcilio Conrado;650;;Riacho Grande;09830-290;Parque Estoril, Riacho Grande e Finco;-23.78317 -46.52863;-23.78317;-46.52863;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
210;Celso Augusto Daniel, EMEB;Celso A Daniel;ceu.celsodaniel@saobernardo.sp.gov.br;;;4352-0434;4352-3929;475439;CELSO AUGUSTO DANIEL EMEB;0;Celso Augusto Daniel - EMEB;540;G3;Rua Centauro (CJ Hab 3 Marias);190;;Cooperativa;09852-205;Cooperativa;-23.72086 -46.59174;-23.72086;-46.59174;CIF;Infantil III,Infantil IV,Infantil V,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;EJA;210 OR 528
42;Cicero Porfirio dos Santos Gilberto Lazzuri, EMEB;Cicero Porfirio;cicero.porfirio@saobernardo.sp.gov.br;;;4358-1598;;225095;CÍCERO PORFÍRIO DOS SANTOS/GILBERTO LAZZURI EMEB;0;Cícero Porfírio dos Santos/Gilberto Lazzuri - EMEB;32;G3;Rua Paraguacu;351;;Jardim Thelma (Alvarenga);09850-700;Jd. Thelma e Jd. Cláudia;-23.73465 -46.59095;-23.73465;-46.59095;CI;;Infantil I,Infantil II,Infantil III,Infantil IV,Infantil V;;
43;Claudemir Gomes do Vale, EMEB Prof.;Claudemir Gomes;claudemir.gomes@saobernardo.sp.gov.br;;;4338-6511;;82338;CLAUDEMIR GOMES DO VALE PROF EMEB;0;Claudemir Gomes do Vale, Professor - EMEB;106;G4;Estrada da Pedra Branca;854;;Montanhao;09792-301;Areião;-23.75499 -46.53021;-23.75499;-46.53021;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
44;Cleia Maria Teures de Souza, EMEB;Cleia MTeures;cleia.teures@saobernardo.sp.gov.br;;;4336-1127;;95357;CLEIA MARIA TEURES DE SOUZA EMEB;0;Cléia Maria Teures de Souza - EMEB;426;G2;Rua Irati;2;;Jardim da Represa (Battistini);09843-370;Jd. Represa, Parque Los Angeles e Parque Imigrantes;-23.77538 -46.59929;-23.77538;-46.59929;CI;;Infantil III,Infantil IV,Infantil V;;20 OR 44
45;Coelho Neto, EMEB;Coelho Neto;coelho.neto@saobernardo.sp.gov.br;;;4343-8383;;50775;COELHO NETO EMEB;0;Coelho Neto - EMEB;34;G3;Av. Joaquim Goncalves Ledo;150;;Vila Rosa (Independencia);09862-380;Jd. Santo Ignácio;-23.70082 -46.58613;-23.70082;-46.58613;I;;Infantil III,Infantil IV,Infantil V;;
46;Cora Coralina, EMEB;Cora Coralina;cora.coralina@saobernardo.sp.gov.br;;;4127-8242;;91029;CORA CORALINA EMEB;0;Cora Coralina - EMEB;35;G2;Rua Primo Bechelli;157;;Parque Selecta (Montanhao);09791-620;Parque Selecta;-23.74121 -46.52882;-23.74121;-46.52882;I;;Infantil II,Infantil III,Infantil IV,Infantil V;;
200;Crianca Emmanuel, Lar da;Lar Emmanuel CC;lardacriancaemmanuel@gmail.com;lardacriancaemmanuel@terra.com.br;;4109-8938;;291812;LAR DA CRIANCA EMMANUEL UNIDADE I;1;Creche Parceira LAR DA CRIANÇA EMMANUEL;270;G3;Av. Humberto de Alencar Castelo Branco;2955;;Alves Dias;;Alves Dias;-23.71626 -46.58493;-23.71626;-46.58493;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
206;Dehon, Nucleo Marisa - Creche Padre;Dehon Padre CC;crechepedehon@imsjt.org.br;crechepedehon@crechepedehon.org.br;;4101-7857;98433-8609;385918;DEHON PADRE CRECHE NUCLEO MARISA;1;Creche Parceira PADRE DEHON;449;G4;Estrada do Cocaia;1238;;Varginha;;Parque Estoril, Riacho Grande e Finco;-23.7807 -46.50186;-23.7807;-46.50186;CC;Infantil I,Infantil II;;;
47;Di Cavalcanti, EMEB;Di Cavalcanti;di.cavalcanti@saobernardo.sp.gov.br;;;4127-0678;;50970;DI CAVALCANTI EMEB;0;Di Cavalcanti - EMEB;36;G2;Av. Fernando Ferrari;401;;Vila Formosa (Ferrazopolis);09790-110;Ferrazópolis;-23.72697 -46.54400;-23.72697;-46.54400;I;Infantil III,Infantil IV,Infantil V;;;
48;Dolores de Toledo de Matteo, EMEB;Dolores Toledo;dolores.matteo@saobernardo.sp.gov.br;;;4123-9568;;229994;DOLORES DE TOLEDO DE MATTEO PROFA EMEB;0;Dolores de Toledo de Matteo, Professora - EMEB;37;G1;Rua Sabino Demarchi;250;;Jd Sao Jose;09762-040;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.7077 -46.52012;-23.7077;-46.52012;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;10 OR 48
49;Dora e Mauricio Galante, EMEB;Dora e Mauricio;dora.mauricio@saobernardo.sp.gov.br;;;4127-2001;;229982;DORA E MAURICIO GALANTE EMEB;0;Dora e Maurício Galante - EMEB;38;G5;Rua Diogo Botelho;340;;Jardim Silvina (Montanhao);09791-030;Jd. Silvina;-23.73829 -46.53893;-23.73829;-46.53893;C;Infantil I,Infantil II;;;
50;Edson Danilo Dotto, EMEB;Edson Danilo;edson.danillo@saobernardo.sp.gov.br;;;4334-1019;;242056;EDSON DANILLO DOTTO EMEB;0;Edson Danillo Dotto - EMEB;39;G2;Av. Pedro Mendes;1875;;Parque Selecta (Montanhao);09791-530;Parque Selecta;-23.74001 -46.52748;-23.74001;-46.52748;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
332;El Elion Creche 1 - Instituto Assistencial Edificando Vidas;El Elion CC 1;crecheeducacionalelelion@gmail.com;;;4472-3771;940469577;6490;CRECHE EL ELION;1;Creche Parceira EL ELION;652;G3;Rua Ministro Edgard Costa ;201;;Jd do Lago;;Jd. Thelma e Jd. Cláudia;-23.73654 -46.57746;-23.73654;-46.57746;CC;Infantil I,Infantil II;;;
